Métrique,Valeur,Unité

Fichiers Python,394,fichiers
Lignes de Code,57695,lignes
Tests,43,tests
Documentation,362,fichiers

Date de collecte,2025-08-30T14:49:41.350523,
Version collecteur,1.0.0,
