Métrique,Valeur,Unité

Fichiers Python,19,fichiers
Lignes de Code,2943,lignes
Tests,10,tests
Documentation,429,fichiers

Date de collecte,2025-08-30T14:50:57.698308,
Version collecteur,1.0.0,
