Métrique,Valeur,Unité

Fichiers Python,292,fichiers
Lignes de Code,42923,lignes
Tests,0,tests
Documentation,186,fichiers

Date de collecte,2025-08-30T14:44:07.081034,
Version collecteur,1.0.0,
