Métrique,Valeur,Unité

Fichiers Python,120,fichiers
Lignes de Code,28862,lignes
Tests,144,tests
Documentation,253,fichiers

Date de collecte,2025-08-30T14:51:02.918949,
Version collecteur,1.0.0,
