Métrique,Valeur,Unité

Fichiers Python,329,fichiers
Lignes de Code,83558,lignes
Tests,2180,tests
Documentation,373,fichiers

Date de collecte,2025-08-30T14:43:39.495168,
Version collecteur,1.0.0,
