Métrique,Valeur,Unité

Fichiers Python,352,fichiers
Lignes de Code,84876,lignes
Tests,2180,tests
Documentation,919,fichiers

Date de collecte,2025-08-30T14:46:54.911161,
Version collecteur,1.0.0,
