Métrique,Valeur,Unité

Fichiers Python,394,fichiers
Lignes de Code,57695,lignes
Tests,0,tests
Documentation,362,fichiers

Date de collecte,2025-08-30T14:47:39.848319,
Version collecteur,1.0.0,
