Métrique,Valeur,Unité

Fichiers Python,1,fichiers
Lignes de Code,1,lignes
Tests,0,tests
Documentation,0,fichiers

Date de collecte,2025-11-24T16:14:34.411491,
Version collecteur,1.1.0,
